Protein IDs,Protein.Names,Description,Gene Name,Intensity Rat57,Intensity Rat58,Intensity Rat59,Intensity Rat60,Intensity Rat61,Intensity Rat62,Intensity Rat63,Intensity Rat64,Intensity Rat65,Intensity Rat66
A0A8I5ZKI9,A0A8I5ZKI9_RAT,BICD cargo adaptor 1,Bicd1,4081170,3990530,5129020,3502000,2478890,2864380,2619780,2100720,2861750,3593540
A0A8I5ZKK5,A0A8I5ZKK5_RAT,NCBP2 antisense 2 (head to head),Ncbp2as2,6729160,9999350,6684250,8370830,7735740,7655210,9921080,8136880,13881900,15259300
A0A8I5ZKQ1,A0A8I5ZKQ1_RAT,small monomeric GTPase,Rab2b,84552300,101726000,83859100,85207600,85043900,101194000,119479000,109176000,119576000,121882000
A0A8I5ZKQ3,A0A8I5ZKQ3_RAT,Dysferlin,Dysf,19059000,19670300,35991200,52957900,65567000,17650400,16250100,14779000,24321200,26403100
A0A8I5ZKR8,A0A8I5ZKR8_RAT,DIRAS family GTPase 2,Diras2,69018300,72083400,38005100,39727600,40408300,60885200,65930500,59962600,45984500,66002300
A0A8I5ZKS4,A0A8I5ZKS4_RAT,Hyccin PI4KA lipid kinase complex subunit 1,Hycc1,8362760,7170640,7936500,7641660,8819890,6148620,7900120,7375200,11632700,10123700
A0A8I5ZKS6,A0A8I5ZKS6_RAT,Rho GTPase activating protein 45,Arhgap45,4365640,5760680,5880480,5792810,8140470,5109340,7747980,5232070,14225600,16837700
A0A8I5ZKT8,A0A8I5ZKT8_RAT,Plexin-C1,Plxnc1,2110660,3835360,3461310,2641320,2616020,3247800,3204180,3104720,2894280,2821830
A0A8I5ZKU9,A0A8I5ZKU9_RAT,Serine hydroxymethyltransferase,Shmt1,,9146950,8054100,9321290,14927300,9904640,17099700,8522010,16694900,13091900
A0A8I5ZKV9,A0A8I5ZKV9_RAT,Probable ATP-dependent RNA helicase DDX5,Ddx5,193143000,209330000,190493000,166485000,184683000,150425000,179309000,147928000,188205000,216998000
A0A8I5ZKY1,A0A8I5ZKY1_RAT,E3 ubiquitin-protein ligase RNF170,Rnf170,22133400,22227100,24375000,20057800,20673600,18223300,20025800,19097000,19277300,23967900
A0A8I5ZL33,A0A8I5ZL33_RAT,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",Asap2,17448300,19598200,15417300,11777500,14905200,16998500,19583100,19308200,13719600,16912400
A0A8I5ZL63,A0A8I5ZL63_RAT,Ankyrin repeat domain 13a,Ankrd13a,12913300,13936500,13675400,11018000,13736800,16113400,16988500,16099500,15971000,18011800
A0A8I5ZL79,A0A8I5ZL79_RAT,Cytochrome c oxidase assembly factor 6 homolog,Coa6,24477400,28234700,17390300,18886400,16376700,18702900,21111000,18006400,9047350,11073600
A0A8I5ZL85,A0A8I5ZL85_RAT,Atypical chemokine receptor 1,Ackr1,350992,326470,1180340,1027250,1665230,,,,2132820,1491210
A0A8I5ZL88,A0A8I5ZL88_RAT,RNA binding protein fox-1 homolog 1,Rbfox1,12980700,14943000,11326400,12487000,11143300,13494700,16568900,14200700,11123000,10142400
A0A8I5ZLD3,A0A8I5ZLD3_RAT,Abl-interactor 2,Abi2,48657300,52439700,46760600,40522200,42583200,41008900,40849700,43739100,42641200,50337500
A0A8I5ZLE0,A0A8I5ZLE0_RAT,Riboflavin kinase,Rfk-ps3,38918300,45727600,26819600,30507300,33237900,34243600,36736200,37158300,32321700,42159000
A0A8I5ZLK5,A0A8I5ZLK5_RAT,P-type phospholipid transporter,Abca1,19039600,20583300,19685600,18071000,22371900,17938600,22403800,19610400,15593600,20867400
A0A8I5ZLL4,A0A8I5ZLL4_RAT,Syntaxin binding protein 6,Stxbp6,101805000,105853000,85806200,69754600,79036200,104802000,114335000,111315000,71394800,95221700
A0A8I5ZLP5,A0A8I5ZLP5_RAT,IQ calmodulin-binding motif-containing protein 1,Iqcb1,11639100,9989880,6079420,7082730,7919530,9107860,8689910,8994600,23748900,18901300
A0A8I5ZLQ1,A0A8I5ZLQ1_RAT,Negative regulator of ubiquitin-like proteins 1,Nub1,20041100,21751500,14455100,14143500,17458500,19333400,22535600,22251200,13773300,17234800
A0A8I5ZLR0,A0A8I5ZLR0_RAT,glutathione transferase,Gstt3,141934000,164019000,95101600,116791000,99312200,142146000,189607000,139142000,129455000,135142000
A0A8I5ZLR7,A0A8I5ZLR7_RAT,Pre-rRNA-processing protein TSR2 homolog,Tsr2,13228500,11205500,6897210,5296420,7355660,16020300,17115200,14243000,8594310,9115960
A0A8I5ZLR9,A0A8I5ZLR9_RAT,Protein diaphanous homolog 2,Diaph2,1671330,1749500,1596460,,2149700,1533080,1985260,1630880,1213830,2116260
