Protein IDs,Protein.Names,Description,Gene Name,Intensity Rat47,Intensity Rat48,Intensity Rat49,Intensity Rat50,Intensity Rat51,Intensity Rat52,Intensity Rat53,Intensity Rat54,Intensity Rat55,Intensity Rat56
P57769,SNX16_RAT,Sorting nexin-16,Snx16,2853850,2899450,3048580,3748870,3138830,2915340,3370280,2328590,3014240,3232620
P58200,VTI1B_RAT,Vesicle transport through interaction with t-SNAREs homolog 1B,Vti1b,25827000,30553000,18725000,19711600,20825800,20880100,27410100,26320500,23205300,27431000
P58295,SC6A5_RAT,Sodium- and chloride-dependent glycine transporter 2,Slc6a5,224345000,254374000,243082000,253350000,255688000,164724000,221655000,194441000,231301000,211791000
P58366,ANKH_RAT,Mineralization regulator ANKH,Ankh,3719080,4705480,5278000,5410890,5409680,,6603500,2794440,4350840,3844410
P58405,STRN3_RAT,Striatin-3,Strn3,22466900,23714400,22473700,22601100,21250400,16679400,21448700,18573000,20628400,19850300
P58775,TPM2_RAT,Tropomyosin beta chain,Tpm2,29404100,49651300,15658200,18812200,19835400,23622500,20521700,20468600,23103400,16939100
P59215,GNAO_RAT,Guanine nucleotide-binding protein G(o) subunit alpha,Gnao1,1543990000,1668740000,1544540000,1646140000,1522450000,1125930000,1780970000,1372670000,1586550000,1455920000
P59649,FXYD7_RAT,FXYD domain-containing ion transport regulator 7,Fxyd7,118376000,,98772800,,74540000,57838900,,64757500,94783100,
P59722,EGLN1_RAT,Egl nine homolog 1 (Fragment),Egln1,3177660,3672350,3671410,3448350,3505520,2859760,4142940,2411170,3426890,3335760
P59895,NEK6_RAT,Serine/threonine-protein kinase Nek6,Nek6,802150,1047780,1033850,1093140,1235280,1157650,933053,650751,810148,764967
P60042,SMS_RAT,Somatostatin,Sst,1912910,2919350,1543110,2322140,1437600,2731360,2090000,989509,2096820,1523040
P60123,RUVB1_RAT,RuvB-like 1,Ruvbl1,21480600,23899800,24089400,23796100,22758900,17143400,25089100,18211500,20708200,20349700
P60192,SNAPN_RAT,SNARE-associated protein Snapin,Snapin,46989000,42694600,38033600,35211100,27323800,8935090,36597800,9339210,26553900,29845400
